Term,Frequency
teenager,18
obesity,18
alien,18
pound,18
bullied,18
👁,18
wasnt,18
monolid,18
soul,18
ur,18
anyway,18
bleaching,17
opposite,17
speak,17
deep,17
spend,17
scary,17
colorism,17
higher,17
chance,17
treated,17
teen,17
ridiculous,17
fuck,17
recently,17
spread,17
taking,17
showing,17
starting,17
famous,17
difference,17
buy,17
thick,17
instagram,17
minute,17
obviously,17
😳,17
common,17
name,17
visual,17
future,17
aria,17
bone,16
positivity,16
gene,16
proud,16
business,16
hot,16
share,16
star,16
loving,16
community,16
worked,16
meant,16
consider,16
masculine,16
today,16
gender,16
easily,16
form,16
expect,16
north,16
simple,16
skincare,16
week,16
unless,16
aging,16
main,16
struggle,16
dancing,16
cry,16
figure,16
control,16
desire,16
move,16
what's,16
w,16
effect,16
gym,16
kim,16
push,16
pain,16
finally,16
chubby,16
close,16
eyebrow,16
large,16
🤢,16
stephanie,16
hiyyih,16
judge,15
term,15
melanin,15
created,15
song,15
ad,15
routine,15
home,15
skinned,15
haha,15
prettier,15
effort,15
experience,15
nowadays,15
wait,15
foundation,15
confused,15
neck,15
college,15
force,15
water,15
pick,15
lead,15
pic,15
barely,15
worried,15
within,15
correct,15
watched,15
<3,15
calling,15
top,15
smaller,15
unattractive,15
modern,15
plus,15
style,15
unfortunately,15
tbh,15
shamed,15
chin,15
racism,14
wont,14
i'll,14
flaw,14
answer,14
except,14
dead,14
mentioned,14
clearly,14
later,14
cream,14
easy,14
bmi,14
walk,14
shaped,14
implant,14
forced,14
needed,14
tiny,14
knowing,14
lighting,14
coming,14
special,14
putting,14
cover,14
post,14
brother,14
influencers,14
developed,14
allowed,14
role,14
sexy,14
according,14
showed,14
beginning,14
simply,14
interested,14
monolids,14
benefit,14
gained,14
behind,14
r,14
🎉,14
happened,14
who's,14
mentally,14
joke,14
thumbnail,14
anime,13
likely,13
edited,13
accepted,13
learned,13
glass,13
concept,13
considering,13
becoming,13
meanwhile,13
wrinkle,13
harmful,13
serious,13
actress,13
house,13
favorite,13
episode,13
obvious,13
alot,13
couldnt,13
match,13
scar,13
towards,13
anorexic,13
bullying,13
cm,13
normalized,13
ethnicity,13
youn,13
tv,13
birth,13
fashion,13
é,13
bbl,13
giving,13
dance,13
era,13
number,13
:(,13
dream,13
queen,13
area,13
hey,13
whitewashing,13
jihyo,13
whiter,12
compliment,12
degree,12
biggest,12
wonderful,12
risk,12
together,12
afford,12
bring,12
sort,12
preference,12
lack,12
language,12
whitening,12
happen,12
million,12
strange,12
whenever,12
incredibly,12
commenting,12
exact,12
talked,12
play,12
waist,12
affected,12
acceptance,12
section,12
🙏,12
😄,12
ton,12
gone,12
wash,12
singer,12
act,12
conscious,12
messed,12
sooo,12
ill,12
secret,12
starve,12
jesus,12
gotta,12
we're,12
healthier,12
forehead,12
awful,12
fully,12
boob,12
não,12
surprised,12
following,12
history,12
loss,12
step,12
rate,12
otherwise,12
dysmorphia,12
karina,12
youll,12
knee,12
method,12
hearing,12
lisa,12
muscular,12
victim,12
jawline,12
he's,12
punjab,12
aryan,12
bear,11
se,11
complexion,11
illness,11
non,11
olive,11
hilarious,11
system,11
bunch,11
blonde,11
run,11
imperfection,11
f,11
fast,11
energy,11
complete,11
win,11
fault,11
necessary,11
sport,11
terrible,11
creepy,11
check,11
hated,11
injection,11
lazy,11
along,11
maintain,11
awesome,11
elf,11
condition,11
option,11
lying,11
everyday,11
stick,11
influence,11
left,11
relationship,11
notice,11
calorie,11
regular,11
wife,11
married,11
apple,11
shown,11
cut,11
overall,11
physically,11
🤔,11
uma,11
medical,11
becomes,11
local,11
pressured,11
rhinoplasty,11
kardashians,11
past,11
personal,11
sweet,11
interview,11
unnatural,11
majority,11
open,11
shoulder,11
arm,11
losing,11
🔥,11
rude,11
center,11
shirt,11
jealous,11
written,11
suffer,11
dress,11
ozempic,11
gay,11
princess,11
ended,11
kiss,11
influenced,10
relative,10
weak,10
law,10
worry,10
crap,10
damage,10
posted,10
treatment,10
conversation,10
shocked,10
understanding,10
responsible,10
study,10
feminine,10
lived,10
curly,10
diverse,10
moved,10
daily,10
adult,10
attracted,10
uk,10
comparison,10
europe,10
let's,10
stranger,10
stress,10
impossible,10
people's,10
thai,10
met,10
massive,10
individual,10
read,10
sign,10
golden,10
perfection,10
taken,10
hide,10
helped,10
self-esteem,10
vid,10
influencer,10
sweat,10
extra,10
yo,10
edit,10
wouldnt,10
continue,10
genetics,10
morning,10
father,10
aesthetic,10
tiktok,10
mine,10
loose,10
curvy,10
🤍,10
die,10
improve,10
bts,10
tend,10
wider,10
mexican,10
tired,10
specific,10
decided,10
research,10
successful,10
la,10
com,10
para,10
racist,10
trait,10
afraid,10
defend,10
happening,10
taller,10
y'all,10
allow,10
singing,10
4th,10
although,10
three,10
possible,10
career,10
perspective,10
lens,10
norm,10
positive,10
apart,10
decision,10
assume,10
late,10
💗,10
disappointed,10
brand,10
forget,10
standars,10
billie,10
privilege,10
tanning,9
embrace,9
mixed,9
philippine,9
none,9
ghost,9
africa,9
cancer,9
game,9
eurocentric,9
listening,9
regardless,9
shade,9
hairstyle,9
bleach,9
😱,9
😡,9
destroying,9
given,9
known,9
malnourished,9
aspect,9
havent,9
challenge,9
professional,9
built,9
da,9
encourage,9
eastern,9
everywhere,9
onto,9
touch,9
appear,9
youtube,9
exposed,9
lb,9
across,9
twice,9
heavy,9
inch,9
pas,9
annoying,9
kill,9
recent,9
solution,9
accepting,9
training,9
one's,9
lunch,9
innocent,9
reach,9
current,9
judged,9
depends,9
raised,9
moment,9
gift,9
disagree,9
kardashian,9
prettiest,9
message,9
generally,9
native,9
talented,9
😁,9
somewhere,9
profit,9
theory,9
depressed,9
nonsense,9
forgot,9
😒,9
movement,9
therapy,9
lucky,9
yuna,9
sexism,9
teacher,9
major,9
subjective,9
promote,9
ew,9
art,9
disease,9
women's,9
bully,9
yeonjun,9
entertainment,9
z,9
rule,9
taste,9
satisfied,9
soo,9
insult,9
crooked,9
💜,9
goddess,9
hating,9
🔸,9
ashamed,8
sunscreen,8
athletic,8
spent,8
they've,8
yellow,8
subject,8
slightly,8
create,8
happens,8
caused,8
planet,8
skill,8
mid,8
🤩,8
mad,8
till,8
youthful,8
dying,8
cheap,8
waste,8
hold,8
editing,8
situation,8
imo,8
pink,8
popularity,8
grown,8
gap,8
remove,8
regarding,8
acting,8
folk,8
mock,8
–,8
pore,8
genuinely,8
among,8
freckle,8
michelle,8
depression,8
expensive,8
flawless,8
picked,8
phone,8
wondering,8
cheek,8
photoshop,8
anti,8
expected,8
yr,8
pure,8
happier,8
animal,8
belly,8
westerner,8
pushing,8
dieting,8
thigh,8
balance,8
population,8
quality,8
beat,8
literal,8
closer,8
🥲,8
lift,8
👄,8
✅,8
original,8
earth,8
helping,8
eventually,8
conventionally,8
willing,8
sua,8
um,8
agreed,8
admit,8
understood,8
badly,8
starving,8
ate,8
broke,8
😔,8
bank,8
they'll,8
soooo,8
moving,8
visuals,8
rock,8
soft,8
bias,8
attitude,8
blood,8
interest,8
diversity,8
news,8
pig,8
southeast,8
someone's,8
tf,8
process,8
✨,8
son,8
ego,8
nearly,8
information,8
judging,8
ik,8
twisted,8
status,8
lower,8
workout,8
#shorts,8
physique,8
pakistan,8
nah,7
praise,7
highly,7
convince,7
hopefully,7
slowly,7
bag,7
playing,7
judgement,7
pointed,7
despite,7
societal,7
intelligent,7
critical,7
marry,7
realizing,7
foreigner,7
exhausting,7
front,7
childlike,7
meal,7
struggling,7
sell,7
spot,7
easier,7
grade,7
enjoy,7
habit,7
compete,7
kept,7
donald,7
therefore,7
hormone,7
related,7
wealth,7
followed,7
cultural,7
youth,7
