platform,author,brand,comment,sentiment
YouTube_Western,@jojomargaux9295,fenty,yall fenty beauty laughed saw woman walk life uniting together laughing dancing living sharing story amazing promoting marketing fenty beauty definitely practiced 4ps marketing ❤ rihanna need get brand level like pat magraw brand rihanna doesnt dominate market foundation lip product real great shadow pallet staple makeup product get see careful better researching customer want stay around love ❤,positive
YouTube_Western,@Kelly-mi1yz,fenty,heard lipstick release great formula keep making color also watch lot beauty community little creator use fenty,positive
YouTube_Western,@sylviak6268,fenty,mac go wrong brand choice took switch fenty didnt mac lead way shade range inclusivity,negative
YouTube_Western,@halehydraa,fenty,someone rarely wear make really wish fenty would release like mini version foundation,positive
YouTube_Western,@lorifrederick2367,fenty,working sephora jcp hearing upcoming fenty launch thought oh great .. another celebrity makeup line snore well education launched totally gobsmacked range color undertone anything ever seen fulfilling able match foundation everyone even shade light medium pink undertone extremely hard get match sale roof many many happy customer definitely set bar brand seen many launch brand since still lack day age shade range rare beauty come close fenty beauty consistently launched excellent product lip gloss divine pry ease drop skintint powder foundation cold dead hand course many backup way go fenty beauty,positive
YouTube_Western,@MsAdri89,fenty,fenty available ulta genus ideal cost living keep going many u benefit ultas reward point system better sephora,positive
YouTube_Western,@fernandohlima_,fenty,rihanna genius way think impressive think fenty going still successful moving forward first good move come mind support feeling fact rihanna put known name brand put last name make little bit difficult people general connect everything good although association benefit brand also disconnection allow rihanna live life without people getting sick hearing name time second rihanna low-key lifestyle reveal much personal life public nowadays even know son's name hahaha sense kinda stay trouble image stay cool possible far music industry also plus matter give less space people criticize,positive
YouTube_Western,@sophroniel,fenty,wanted bad purchase dainty doll foundation unable source new zealand kind ironic fenty even go light enough pink enough skin tone despite press they've running since beginning saying cater skin tone white mixer would less critical foundation yellow mac's fenty first wide shade range biggest loudest,negative
YouTube_Western,@steeldrumheart601,fenty,allot company said created wider range skin tone follow fenty go store reverted selling specific shade like before.they still underestimate brown consumer that's loss,neutral
YouTube_Western,@lizday3067,fenty,mentioned risk losing luxury status think sophisticated still relatively affordable continues emphasis inclusivity luxury brand higher price point inherently exclusive purchased fenty product im excited see brand go,positive
YouTube_Western,@gjimjams,fenty,hated ketchup gloss thing hey like buy harm ... love fenty boot uk make accessible think brand image strong enough take association ... let's say great win boot 😜,positive
YouTube_Western,@zdoriksandorik,fenty,remember exactly fenty beauty dropped foundation shadesand right pale colour i'm person general shade ivory white always dark yellow remember pre-fenty impossible friend buy sort pale foundation really changed game,positive
YouTube_Western,@jhoover3098,fenty,watching video back back understitchs fenty fashion video everything rise rise beauty line many mistake fashion line great lesson building customer loyalty honestly video assigned business class well done 🏆 🏆 🏆,positive
YouTube_Western,@namjoonsgf41,fenty,i've watch video similar video topic fenty rise fall true 🥲 https://youtu.be/gclgdfutyci,positive
YouTube_Western,@societycrumbles,fenty,i've said say lot lack inclusvity makeup world fenty releasing shade foundation considered revolutionary,negative
YouTube_Western,@yahainHotPink,fenty,september official launch time fenty beauty guess alliance started,positive
YouTube_Western,@cherissetillman8973,fenty,try fenty wear makeup wanted try good brand,positive
YouTube_Western,@thecat5819,fenty,japanese person life united state currently japanese american immigrant generation country etc interesting see american cause sort problem relation japanese people often use japanese people arent upset back home sensitive american need calm point japanese american going pick recurring issue compared u japanese people tend isolated anti-japanese anti-asian racism important emphasize think like pocs honestly ethnic group general like appreciation.so see non japanese person kimono think totally cool think japanese people think way perception what's used weapon people defend actual issue cultural appropriation huge vital concept acknowledge japanese cultural-related thing think merely misrepresentation misinformation aspect wearing cheongsam china geisha japan look katy perry paper mentioned misinformation misrepresentation.mixing matching culture like continuously spread false narrative u asian think people get caught white person wearing kimono ok rather looking issue specifically mixing matching culture furthermore almost kimono context western usage weird orientalist shiny flimsy cloth japanese kimono shiny lol thin showing lot skin layering kimono outside yukatas summer heavily layered point warmer wear kimono outside japanese winter western clothing jacket curvy curvy silhouette historically speaking huge western trend went historically speaking corset japan emphasize straight silhouette kimono deliberately hide waist look like rectangle using thick expensive piece called obi throw chinese motif print japanese chinese print different visually different culture dragon thing maybe korean influence well play mixing matching game cultural clothing color also super opt demure color rather super bright one tabi worn despite kimono presented non-yukata.another depiction kimono almost even bastardized way used synonym robe often time see bridesmaid robe labeled kimono sleek shiny showing lot skin layer non-japanese patterning probably associated orientalist association finally kim kardashian pre-skims kimono scandal gone forth original name fear even watered cultural clothing would've become.another issue brand depicting inaccurate depiction kimono might use east asian model may japanese consumer care fit mental orientalist assumption think another huge issue spreading misconception usage east asian model allows false credibility depicted clothing consumer know better would think ah east asian clothing worn east asian mean kimono legit actually saw tiktok made good intention hence trending showed bad asian cultural clothing usually halloween costume v real asian cultural clothing except kimono creator didnt realize fault ended using picture nonauthentic kimono chinese website east asian country also nonauthentic depiction eachother's cultural clothing like japan also depict chinese cultural clothing stereotypically often seen manga trope chun li example anyway creator saw looked legit enough came mainland asian website believed authentic unforutnately unintentionally continued spread misinformation term kimono presented real version haha harmful well.the makeup industry controversy orientalist stuff new seen limecrime china doll mixed culture full misinformation incident fenty beauty thing honest seen worse wouldnt personally feel super upset way used mere adjective course contribution watering culture like kimono skim incident outrage understandable.anyway instead looking kimono english due rampant misinformation halloween brand tryna sell sexy dragon geisha lady kpop konnichiwa clothes pushing wrong result top always tell peer look google image 着物は translates kimono hiragana end google know search request japanese 振袖は translates furisode hiragana end google know search request japanese 着物の種類 look type kimono range yukata furisode oofurisode kimono subcategory within category houmongi hakama also piece added onto kimono furisode creates hakama look graduation worn working shinto temple geisha'芸者とは geisha 芸者と舞妓の違い difference geisha maiko 芸者と舞妓と花魁の違い difference geisha maiko oiran oiran often sexualized fetishized lot orientalist stuff come imo esp people dont know difference betwen geisha oiran lol common component japanese kimono tabi-zouri fancier geta often casual obijime-obi-obiage-nagajyuban longer version hanjyuban halfsized version hadajyuban go directly skin dateeri kasaneeri-datejime-erishinall piece layered layered furisode formal kimono oofurisode many layer huge extravagant print perfect winter weather yukata casual easy put minimal layer summer season often cooler color blue green faded brown simple pattern summer weather anyway watching evolution fenty beauty really neat keep great content sorry unrelated ramblings comment section thought relevant enough splurge info best could fellow viewer might interested haha,positive
YouTube_Western,@K.aterina,fenty,love fenty brand find foundation match,positive
YouTube_Western,@BossBrookeArmstrong,fenty,find fenty beauty sooooooo overrated 🥱 feel like rihannas name wasnt attached one would really care product decent extraordinary,positive
YouTube_Western,@justinemarin16,fenty,personally fan ketchup gloss marketing scheme always thought fenty beauty sophisticated chic brand release ruined imo much mouth made video put well came gimmicky touch usual branding marketing usually effective staying relevant keeping trend one done tacky way imo,positive
YouTube_Western,@davidanderson3407,fenty,owner robyn fenty ); lvmh parent kendo holding lvmh fenty corp,neutral
YouTube_Western,@jynnejillmendoza5294,fenty,kawaykaway sa napunta didto dahil sa ballang hamog na inggit na inggit sa isang muph candidate ti-nag pa talaga sa comment section itong fenty beauty copyright kunwari concerned pero baklang hamog,positive
YouTube_Western,@jeylakeybreezy7050,fenty,#fentybeauty song b cute blnd music werdest song ad use music like wtf brand use music,positive
YouTube_Western,@Mouhamedtounkara09,fenty,l love fenty.it good see black woman star live riri et queen b start solution like b'cause black need see closhes lip shoe make ups corresponding b'cause sortîmes easy find it.wish à good continuation love riri 💋 ❤,positive
YouTube_Western,@kumaladewii,fenty,love fenty beauty please notice asian korean japanese chinese there's also south east asian different skintone east asian woman,positive
YouTube_Western,@awa7671,fenty,#teamfentybeauty thanks rihanna,positive
YouTube_Western,@erkan-n,fenty,u watch video fenty beauty rih,positive
